t,index,i,j,sector,length
246,96240,282,78,9,354
247,61738,181,17,6,353
248,94190,276,74,9,354
249,89417,75,262,8,353
250,92860,272,108,9,352
251,88736,76,260,8,353
252,95555,280,75,9,352
253,92155,85,270,8,360
254,59341,7,174,5,359
255,59006,173,13,5,355
256,93520,274,86,9,360
257,90778,72,266,8,352
258,58318,171,7,5,357
259,57980,170,10,5,356
260,94194,78,276,9,357
261,92825,272,73,9,353
262,91471,83,268,8,359
263,95561,81,280,9,356
264,58317,171,6,5,358
265,91126,79,267,8,357
266,94534,277,77,9,355
267,58319,8,171,5,357
268,91837,108,269,8,352
269,59684,9,175,5,358
270,94880,82,278,9,358
271,94188,72,276,9,352
272,89757,263,74,8,353
273,92153,83,270,8,359
274,93515,274,81,9,358
275,92487,271,76,9,355
276,92859,107,272,9,353
277,121892,357,162,11,352
278,92519,108,271,9,352
279,95557,280,77,9,354
280,93541,107,274,9,353
281,57637,8,169,5,356
282,121553,356,163,11,353
283,95221,82,279,9,357
284,89421,79,262,8,356
285,93861,275,86,9,360
286,94540,277,83,9,358
287,91802,269,73,8,353
288,60716,18,178,5,352
289,93180,87,273,9,360
290,93181,273,88,9,360
291,95554,280,74,9,352
292,92497,271,86,9,360
293,90099,264,75,8,354
294,122232,162,358,11,352
295,95897,281,76,9,352
296,93200,273,107,9,353
297,57978,170,8,5,357
298,92178,270,108,8,352
299,90446,81,265,8,358
300,93507,274,73,9,353
301,89420,78,262,8,356
302,91465,268,77,8,356
303,57974,170,4,5,358
304,94532,277,75,9,353
305,93199,273,106,9,354
306,95218,79,279,9,355
307,93540,274,106,9,354
308,60714,178,16,5,354
309,92518,107,271,9,353
310,96583,283,80,9,354
311,55583,0,163,5,354
312,96581,283,78,9,353
313,91812,83,269,8,359
314,61057,179,18,5,352
315,91472,84,268,8,360
316,92834,272,82,9,359
317,93169,273,76,9,355
318,89079,78,261,8,355
319,90439,74,265,8,354
320,57631,169,2,5,357
321,91837,269,108,8,352
322,60713,178,15,5,354
323,96238,76,282,9,352
324,95222,83,279,9,357
325,93521,274,87,9,360
326,92177,107,270,8,353
327,58322,171,11,5,355
328,93182,89,273,9,360
329,92829,272,77,9,356
330,93849,275,74,9,354
331,90786,80,266,8,358
332,92859,272,107,9,353
333,61394,180,14,6,355
334,94543,277,86,9,359
335,91804,269,75,8,354
336,93512,78,274,9,357
337,93882,275,107,9,353
338,92149,270,79,8,357
339,61054,179,15,5,354
340,93174,273,81,9,358
341,95213,279,74,9,352
342,58660,8,172,5,358
343,94192,276,76,9,355
344,91496,108,268,8,352
345,95898,77,281,9,353
346,60026,10,176,5,358
347,93509,274,75,9,354
348,92858,106,272,9,354
349,94883,278,85,9,359
350,93847,72,275,9,352
351,91130,83,267,8,359
352,59690,175,15,5,354
353,91813,84,269,8,360
354,92152,82,270,8,359
355,122575,165,359,11,354
356,89078,261,77,8,354
357,93172,79,273,9,357
358,58661,9,172,5,357
359,93510,76,274,9,355
360,58321,10,171,5,356
361,91836,269,107,8,353
362,93199,106,273,9,354
363,91131,84,267,8,360
364,95224,85,279,9,358
365,60025,9,176,5,358
366,91814,85,269,8,360
367,96239,282,77,9,353
368,93883,108,275,9,352
369,94202,276,86,9,360
370,59685,175,10,5,358
371,92492,271,81,9,358
372,94530,73,277,9,352
373,94881,278,83,9,358
374,92518,271,107,9,353
375,95903,82,281,9,356
376,93180,273,87,9,360
377,88735,260,75,8,352
378,56950,167,3,5,356
379,96241,79,282,9,354
380,92517,271,106,9,354
381,91495,107,268,8,353
382,93852,77,275,9,356
383,92177,270,107,8,353
384,122576,166,359,11,355
385,90105,81,264,8,358
386,94203,276,87,9,360
387,92841,89,272,9,360
388,93198,105,273,9,354
389,96242,80,282,9,355
390,60374,177,17,5,353
391,93181,88,273,9,360
392,96243,81,282,9,355
393,57979,9,170,5,356
394,92497,86,271,9,360
395,94882,278,84,9,359
396,96582,79,283,9,353
397,93862,275,87,9,360
398,91496,268,108,8,352
399,91815,86,269,8,360
400,88737,77,260,8,354
401,93863,275,88,9,360
402,96580,283,77,9,352
403,92857,272,105,9,354
404,122572,359,162,11,352
405,61395,15,180,6,354
406,89763,80,263,8,357
407,95902,81,281,9,355
408,122573,163,359,11,353
409,96236,282,74,9,351
410,61058,19,179,5,351
411,94884,278,86,9,359
412,61397,17,180,6,353
413,94187,276,71,9,351
414,93521,87,274,9,360
415,90436,265,71,8,351
416,62081,182,19,6,351
417,120871,354,161,11,351
418,95553,73,280,9,351
419,94224,276,108,9,352
420,121211,161,355,11,351
421,92861,272,109,9,351
422,93505,274,71,9,351
423,91497,109,268,8,351
424,92858,272,106,9,354
425,91459,268,71,8,351
426,94225,276,109,9,351
427,88736,260,76,8,353
428,91838,109,269,8,351
429,94870,72,278,9,351
430,92156,270,86,8,360
431,58319,171,8,5,357
432,96579,283,76,9,351
433,90779,73,266,8,353
434,93884,275,109,9,351
435,94542,277,85,9,359
436,96579,76,283,9,351
437,121551,161,356,11,351
438,96581,78,283,9,353
439,61740,19,181,6,351
440,88052,258,74,8,351
441,92179,270,109,8,351
442,93164,273,71,9,351
443,91836,107,269,8,353
444,92832,272,80,9,358
445,92141,71,270,8,351
446,92520,271,109,9,351
447,94529,277,72,9,351
448,93543,274,109,9,351
449,93182,273,89,9,360
450,90101,77,264,8,356
451,94870,278,72,9,351
452,92823,71,272,9,351
453,95212,73,279,9,351
454,93202,273,109,9,351
455,92482,271,71,9,351
456,96236,74,282,9,351
457,90441,265,76,8,355
458,90447,82,265,8,359
459,88394,75,259,8,351
460,93513,79,274,9,357
461,94187,71,276,9,351
462,92176,106,270,8,354
463,122231,161,358,11,351
464,92179,109,270,8,351
465,89414,72,262,8,351
466,95223,279,84,9,358
467,96583,80,283,9,354
468,93522,88,274,9,360
469,88733,260,73,8,351
470,93846,275,71,9,351
471,62422,19,183,6,351
472,62421,183,18,6,352
473,91800,71,269,8,351
474,61399,180,19,6,351
475,92861,109,272,9,351
476,93540,106,274,9,354
477,94203,87,276,9,360
478,95895,74,281,9,351
479,88393,74,259,8,351
480,91156,109,267,8,351
481,95222,279,83,9,357
482,95553,280,73,9,351
483,92150,270,80,8,358
484,92516,105,271,9,354
485,96243,282,81,9,355
486,90777,266,71,8,351
487,92499,271,88,9,360
488,62081,19,182,6,351
489,95904,281,83,9,356
490,89074,261,73,8,351
491,89755,72,263,8,351
492,88395,76,259,8,352
493,94191,276,75,9,354
494,95225,279,86,9,358
495,90815,109,266,8,351
496,121891,357,161,11,351
497,90095,71,264,8,351
498,91816,87,269,8,360
499,92517,106,271,9,354
500,92840,88,272,9,360
501,91838,269,109,8,351
502,55584,1,163,5,353
503,93853,275,78,9,357
504,121212,162,355,11,352
505,61740,181,19,6,351
506,93520,86,274,9,360
507,90133,109,264,8,351
508,93523,89,274,9,360
509,90474,265,109,8,351
510,92520,109,271,9,351
511,121213,163,355,11,353
512,91497,268,109,8,351
513,93882,107,275,9,353
514,121211,355,161,11,351
515,90788,82,266,8,359
516,95212,279,73,9,351
517,96923,284,79,9,352
518,90448,83,265,8,359
519,92823,272,71,9,351
520,61399,19,180,6,351
521,95895,281,74,9,351
522,93543,109,274,9,351
523,91119,267,72,8,352
524,93881,275,106,9,354
525,92841,272,89,9,360
526,94544,277,87,9,359
527,93846,71,275,9,351
528,92175,105,270,8,354
529,95562,82,280,9,357
530,92839,87,272,9,360
531,61058,179,19,5,351
532,93202,109,273,9,351
533,91810,81,269,8,358
534,91132,85,267,8,360
535,93198,273,105,9,354
536,91156,267,109,8,351
537,59343,9,174,5,358
538,60367,177,10,5,358
539,93851,275,76,9,355
540,94885,87,278,9,359
541,88393,259,74,8,351
542,95563,83,280,9,357
543,91495,268,107,8,353
544,96240,78,282,9,354
545,58664,12,172,5,356
546,95903,281,82,9,356
547,95908,87,281,9,357
548,94529,72,277,9,351
549,88733,73,260,8,351
550,92500,89,271,9,360
551,90815,266,109,8,351
552,94204,276,88,9,360
553,93170,77,273,9,356
554,92857,105,272,9,354
555,91133,267,86,8,360
556,93505,71,274,9,351
557,91835,106,269,8,354
558,92176,270,106,8,354
559,95901,281,80,9,355
560,60717,178,19,5,351
561,93865,90,275,9,361
562,94886,88,278,9,359
563,62078,182,16,6,354
564,92501,90,271,9,361
565,96921,77,284,9,351
566,94225,109,276,9,351
567,88737,260,77,8,354
